image,has_defect,class,x_center,y_center,width,height,orig_path
kos01_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos01\Part0.jpg
kos01_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos01\Part1.jpg
kos01_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos01\Part2.jpg
kos01_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos01\Part3.jpg
kos01_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos01\Part4.jpg
kos01_Part5.jpg,1,0,0.6510416666666666,0.48046875,0.041666666666666664,0.0078125,kos01\Part5.jpg
kos01_Part5.jpg,1,0,0.6197916666666666,0.4791666666666667,0.010416666666666666,0.005208333333333333,kos01\Part5.jpg
kos01_Part5.jpg,1,0,0.60546875,0.4752604166666667,0.0026041666666666665,0.0026041666666666665,kos01\Part5.jpg
kos01_Part5.jpg,1,0,0.5716145833333334,0.4752604166666667,0.013020833333333334,0.0026041666666666665,kos01\Part5.jpg
kos01_Part5.jpg,1,0,0.5885416666666666,0.4739583333333333,0.015625,0.010416666666666666,kos01\Part5.jpg
kos01_Part5.jpg,1,0,0.5208333333333334,0.4635416666666667,0.08333333333333333,0.026041666666666668,kos01\Part5.jpg
kos01_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos01\Part6.jpg
kos01_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos01\Part7.jpg
kos02_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos02\Part0.jpg
kos02_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos02\Part1.jpg
kos02_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos02\Part2.jpg
kos02_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos02\Part3.jpg
kos02_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos02\Part4.jpg
kos02_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos02\Part5.jpg
kos02_Part6.jpg,1,0,0.6731770833333334,0.50390625,0.0026041666666666665,0.0026041666666666665,kos02\Part6.jpg
kos02_Part6.jpg,1,0,0.6419270833333334,0.5091145833333334,0.09635416666666667,0.013020833333333334,kos02\Part6.jpg
kos02_Part6.jpg,1,0,0.6927083333333334,0.4986979166666667,0.010416666666666666,0.0078125,kos02\Part6.jpg
kos02_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos02\Part7.jpg
kos03_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos03\Part0.jpg
kos03_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos03\Part1.jpg
kos03_Part2.jpg,1,0,0.5703125,0.3411458333333333,0.015625,0.005208333333333333,kos03\Part2.jpg
kos03_Part2.jpg,1,0,0.6940104166666666,0.3359375,0.0078125,0.005208333333333333,kos03\Part2.jpg
kos03_Part2.jpg,1,0,0.6627604166666666,0.3372395833333333,0.0390625,0.0078125,kos03\Part2.jpg
kos03_Part2.jpg,1,0,0.6171875,0.3385416666666667,0.041666666666666664,0.015625,kos03\Part2.jpg
kos03_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos03\Part3.jpg
kos03_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos03\Part4.jpg
kos03_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos03\Part5.jpg
kos03_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos03\Part6.jpg
kos03_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos03\Part7.jpg
kos04_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos04\Part0.jpg
kos04_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos04\Part1.jpg
kos04_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos04\Part2.jpg
kos04_Part3.jpg,1,0,0.6497395833333334,0.5182291666666666,0.09114583333333333,0.015625,kos04\Part3.jpg
kos04_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos04\Part4.jpg
kos04_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos04\Part5.jpg
kos04_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos04\Part6.jpg
kos04_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos04\Part7.jpg
kos05_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos05\Part0.jpg
kos05_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos05\Part1.jpg
kos05_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos05\Part2.jpg
kos05_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos05\Part3.jpg
kos05_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos05\Part4.jpg
kos05_Part5.jpg,1,0,0.5416666666666666,0.5130208333333334,0.010416666666666666,0.005208333333333333,kos05\Part5.jpg
kos05_Part5.jpg,1,0,0.6263020833333334,0.5,0.13802083333333334,0.020833333333333332,kos05\Part5.jpg
kos05_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos05\Part6.jpg
kos05_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos05\Part7.jpg
kos06_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos06\Part0.jpg
kos06_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos06\Part1.jpg
kos06_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos06\Part2.jpg
kos06_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos06\Part3.jpg
kos06_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos06\Part4.jpg
kos06_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos06\Part5.jpg
kos06_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos06\Part6.jpg
kos06_Part7.jpg,1,0,0.5924479166666666,0.5325520833333334,0.2109375,0.0703125,kos06\Part7.jpg
kos06_Part7.jpg,1,0,0.4635416666666667,0.5,0.036458333333333336,0.005208333333333333,kos06\Part7.jpg
kos07_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos07\Part0.jpg
kos07_Part1.jpg,1,0,0.5885416666666666,0.375,0.21354166666666666,0.026041666666666668,kos07\Part1.jpg
kos07_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos07\Part2.jpg
kos07_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos07\Part3.jpg
kos07_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos07\Part4.jpg
kos07_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos07\Part5.jpg
kos07_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos07\Part6.jpg
kos07_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos07\Part7.jpg
kos08_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos08\Part0.jpg
kos08_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos08\Part1.jpg
kos08_Part2.jpg,1,0,0.5950520833333334,0.78125,0.20572916666666666,0.13020833333333334,kos08\Part2.jpg
kos08_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos08\Part3.jpg
kos08_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos08\Part4.jpg
kos08_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos08\Part5.jpg
kos08_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos08\Part6.jpg
kos08_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos08\Part7.jpg
kos09_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos09\Part0.jpg
kos09_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos09\Part1.jpg
kos09_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos09\Part2.jpg
kos09_Part3.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos09\Part3.jpg
kos09_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos09\Part4.jpg
kos09_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos09\Part5.jpg
kos09_Part6.jpg,1,0,0.48828125,0.45703125,0.0026041666666666665,0.0026041666666666665,kos09\Part6.jpg
kos09_Part6.jpg,1,0,0.5130208333333334,0.4557291666666667,0.010416666666666666,0.005208333333333333,kos09\Part6.jpg
kos09_Part6.jpg,1,0,0.4986979166666667,0.4544270833333333,0.0026041666666666665,0.0026041666666666665,kos09\Part6.jpg
kos09_Part6.jpg,1,0,0.6106770833333334,0.4544270833333333,0.1796875,0.0234375,kos09\Part6.jpg
kos09_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos09\Part7.jpg
kos10_Part0.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos10\Part0.jpg
kos10_Part1.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos10\Part1.jpg
kos10_Part2.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos10\Part2.jpg
kos10_Part3.jpg,1,0,0.5690104166666666,0.4973958333333333,0.2526041666666667,0.026041666666666668,kos10\Part3.jpg
kos10_Part3.jpg,1,0,0.39453125,0.4778645833333333,0.09114583333333333,0.018229166666666668,kos10\Part3.jpg
kos10_Part4.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos10\Part4.jpg
kos10_Part5.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos10\Part5.jpg
kos10_Part6.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos10\Part6.jpg
kos10_Part7.jpg,0,-1,-1.0,-1.0,-1.0,-1.0,kos10\Part7.jpg
